CustomerId,Surname,Gender,Age,Tenure,Balance,Satisfaction Score,EstimatedSalary
15603665,Colombo,Female,39,0,122501.28,1,95007.8
15764491,Greece,Male,35,10,159693.9,3,71173.64
15752342,Bradley,Female,54,6,133656.91,1,145071.33
15793491,Cherkasova,Male,26,3,119545.48,3,65482.94
15600739,Galkin,Female,35,0,0.0,2,119899.52
15614740,Walters,Female,41,6,135203.81,3,121967.88
15639217,McKenzie,Male,34,6,0.0,3,100809.99
15803406,Ross,Female,26,1,77780.29,3,183049.41
15643574,Odinakachukwu,Male,26,8,0.0,3,178373.43
15748231,Hargreaves,Male,35,4,95853.39,5,192933.37
15760825,Fraser,Female,40,1,0.0,1,123207.17
15654495,Potter,Female,47,6,120621.89,5,140803.7
15710743,Onwuamaeze,Male,47,0,0.0,2,133831.37
15742886,Ford,Male,26,1,138023.79,3,117060.2
15778884,Jamieson,Female,38,2,154763.21,5,174800.31
15772559,Burrows,Female,47,10,148636.21,4,16119.96
15636423,Lei,Male,40,7,0.0,5,141359.11
15715047,Joshua,Male,43,9,172478.15,4,191084.4
15678206,Yeh,Male,46,6,161798.53,5,182944.47
15717138,Watson,Male,31,6,82613.56,2,149170.92
15626474,Onyemere,Female,31,1,0.0,2,4802.25
15732778,Templeman,Male,29,1,111681.98,3,195711.16
15628963,Frolova,Male,43,3,141859.12,5,111249.62
15678284,Pai,Male,35,7,74623.5,2,129451.29
15578866,Hughes,Female,43,2,0.0,1,55119.53
